
Average loss: 9.1648 | Effect accuracy: 0.5292 | Outcome accuracy: 0.0077 | Avg accuracy: 0.2684
Average loss: 8.1116 | Effect accuracy: 0.5920 | Outcome accuracy: 0.0241 | Avg accuracy: 0.3081
Average loss: 7.6376 | Effect accuracy: 0.6091 | Outcome accuracy: 0.0443 | Avg accuracy: 0.3267
Average loss: 7.1768 | Effect accuracy: 0.6213 | Outcome accuracy: 0.0683 | Avg accuracy: 0.3448
Average loss: 6.7369 | Effect accuracy: 0.6274 | Outcome accuracy: 0.0894 | Avg accuracy: 0.3584
Average loss: 6.3123 | Effect accuracy: 0.6362 | Outcome accuracy: 0.1056 | Avg accuracy: 0.3709
Average loss: 5.8935 | Effect accuracy: 0.6479 | Outcome accuracy: 0.1311 | Avg accuracy: 0.3895
Average loss: 5.4716 | Effect accuracy: 0.6546 | Outcome accuracy: 0.1525 | Avg accuracy: 0.4036
Average loss: 5.0477 | Effect accuracy: 0.6600 | Outcome accuracy: 0.1863 | Avg accuracy: 0.4232
Average loss: 4.6332 | Effect accuracy: 0.6671 | Outcome accuracy: 0.2289 | Avg accuracy: 0.4480
Average loss: 4.2469 | Effect accuracy: 0.6749 | Outcome accuracy: 0.2747 | Avg accuracy: 0.4748
Average loss: 3.9040 | Effect accuracy: 0.6851 | Outcome accuracy: 0.3252 | Avg accuracy: 0.5052
Average loss: 3.6174 | Effect accuracy: 0.6914 | Outcome accuracy: 0.3712 | Avg accuracy: 0.5313
Average loss: 3.3848 | Effect accuracy: 0.6990 | Outcome accuracy: 0.4094 | Avg accuracy: 0.5542
Average loss: 3.2055 | Effect accuracy: 0.7000 | Outcome accuracy: 0.4318 | Avg accuracy: 0.5659
Average loss: 3.0610 | Effect accuracy: 0.7098 | Outcome accuracy: 0.4535 | Avg accuracy: 0.5817
Average loss: 2.9452 | Effect accuracy: 0.7158 | Outcome accuracy: 0.4628 | Avg accuracy: 0.5893
Average loss: 2.8485 | Effect accuracy: 0.7199 | Outcome accuracy: 0.4704 | Avg accuracy: 0.5951
Average loss: 2.7654 | Effect accuracy: 0.7202 | Outcome accuracy: 0.4832 | Avg accuracy: 0.6017
Average loss: 2.6876 | Effect accuracy: 0.7344 | Outcome accuracy: 0.4926 | Avg accuracy: 0.6135
Average loss: 2.6167 | Effect accuracy: 0.7351 | Outcome accuracy: 0.4954 | Avg accuracy: 0.6152
Average loss: 2.5549 | Effect accuracy: 0.7402 | Outcome accuracy: 0.5029 | Avg accuracy: 0.6215
Average loss: 2.4917 | Effect accuracy: 0.7493 | Outcome accuracy: 0.5114 | Avg accuracy: 0.6303
Average loss: 2.4380 | Effect accuracy: 0.7471 | Outcome accuracy: 0.5131 | Avg accuracy: 0.6301
Average loss: 2.3787 | Effect accuracy: 0.7554 | Outcome accuracy: 0.5225 | Avg accuracy: 0.6389
Average loss: 2.3307 | Effect accuracy: 0.7610 | Outcome accuracy: 0.5290 | Avg accuracy: 0.6450
Average loss: 2.2809 | Effect accuracy: 0.7613 | Outcome accuracy: 0.5300 | Avg accuracy: 0.6457
Average loss: 2.2375 | Effect accuracy: 0.7686 | Outcome accuracy: 0.5365 | Avg accuracy: 0.6525
Average loss: 2.1902 | Effect accuracy: 0.7752 | Outcome accuracy: 0.5434 | Avg accuracy: 0.6593
Average loss: 2.1488 | Effect accuracy: 0.7748 | Outcome accuracy: 0.5445 | Avg accuracy: 0.6596
Average loss: 2.1097 | Effect accuracy: 0.7826 | Outcome accuracy: 0.5497 | Avg accuracy: 0.6662
Average loss: 2.0709 | Effect accuracy: 0.7827 | Outcome accuracy: 0.5541 | Avg accuracy: 0.6684
Average loss: 2.0310 | Effect accuracy: 0.7864 | Outcome accuracy: 0.5565 | Avg accuracy: 0.6715
Average loss: 1.9969 | Effect accuracy: 0.7938 | Outcome accuracy: 0.5655 | Avg accuracy: 0.6797
Average loss: 1.9628 | Effect accuracy: 0.7938 | Outcome accuracy: 0.5577 | Avg accuracy: 0.6757
Average loss: 1.9285 | Effect accuracy: 0.7991 | Outcome accuracy: 0.5683 | Avg accuracy: 0.6837
Average loss: 1.8941 | Effect accuracy: 0.8025 | Outcome accuracy: 0.5747 | Avg accuracy: 0.6886
Average loss: 1.8679 | Effect accuracy: 0.8074 | Outcome accuracy: 0.5700 | Avg accuracy: 0.6887
Average loss: 1.8365 | Effect accuracy: 0.8097 | Outcome accuracy: 0.5780 | Avg accuracy: 0.6938
Average loss: 1.8123 | Effect accuracy: 0.8121 | Outcome accuracy: 0.5805 | Avg accuracy: 0.6963
Average loss: 1.7836 | Effect accuracy: 0.8175 | Outcome accuracy: 0.5817 | Avg accuracy: 0.6996
Average loss: 1.7553 | Effect accuracy: 0.8181 | Outcome accuracy: 0.5885 | Avg accuracy: 0.7033
Average loss: 1.7294 | Effect accuracy: 0.8255 | Outcome accuracy: 0.5909 | Avg accuracy: 0.7082
Average loss: 1.7055 | Effect accuracy: 0.8226 | Outcome accuracy: 0.5932 | Avg accuracy: 0.7079
Average loss: 1.6848 | Effect accuracy: 0.8257 | Outcome accuracy: 0.5954 | Avg accuracy: 0.7106
Average loss: 1.6625 | Effect accuracy: 0.8310 | Outcome accuracy: 0.5926 | Avg accuracy: 0.7118
Average loss: 1.6394 | Effect accuracy: 0.8327 | Outcome accuracy: 0.5954 | Avg accuracy: 0.7141
Average loss: 1.6168 | Effect accuracy: 0.8338 | Outcome accuracy: 0.5942 | Avg accuracy: 0.7140
Average loss: 1.5977 | Effect accuracy: 0.8351 | Outcome accuracy: 0.6037 | Avg accuracy: 0.7194
Average loss: 1.5778 | Effect accuracy: 0.8422 | Outcome accuracy: 0.6017 | Avg accuracy: 0.7219
Average loss: 1.5609 | Effect accuracy: 0.8389 | Outcome accuracy: 0.5986 | Avg accuracy: 0.7187
Average loss: 1.5403 | Effect accuracy: 0.8439 | Outcome accuracy: 0.6030 | Avg accuracy: 0.7234
Average loss: 1.5253 | Effect accuracy: 0.8459 | Outcome accuracy: 0.6083 | Avg accuracy: 0.7271
